wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000,pm1,pm2,rPM,pri_source,sec_source,pri_plx,sec_plx,pri_e_plx,sec_e_plx,pri_gaia_gmag,sec_gaia_gmag,pri_gaia_pmra,pri_gaia_pmdec,sec_gaia_pmra,sec_gaia_pmdec,min_rad_sep_pc,min_rad_sep_au,min_rad_sep_ly
01055+1523,STF 87,,1829,2019,125,193,204,6.6,6.0,9.24,9.93,K3.5V+K8V,7.0,-198.0,6.0,-197.0,NV,010529.91+152324.2,198.12369873389704,197.0913493789111,0.007138033316612703,2783518418493208832,2783518212334778880,36.6981,36.8781,0.020400000736117363,0.09860000014305115,8.768527,9.213501,7.734,-199.039,3.702,-191.991,0.04516885446161467,9316.745013928245,0.14732109956815
09226+6251,MLB 203,AB,1907,2019,23,90,92,6.6,7.6,10.04,10.3,G,-143.0,-41.0,-141.0,-43.0,NT,092235.60+625035.3,148.7615541731129,147.41099009232656,0.01901315928344475,1040254960426076416,1040254964721358592,12.3238,12.3432,0.013000000268220901,0.01360000018030405,9.78093,10.165293,-142.915,-40.917,-140.837,-43.53,0.04733485073880672,9763.513816375194,0.15438563456731913
18069+1408,FAL 61,,1991,2016,8,130,129,6.4,6.5,9.81,12.21,,38.0,-235.0,39.0,-238.0,V,180655.08+140818.1,238.05251521460553,241.17421089328766,0.013283949792832771,4498040329083118592,4498040324786097792,18.768,18.7851,0.016499999910593033,0.017400000244379044,10.017805,11.788887,37.771,-238.122,41.936,-238.217,0.047653915833699045,9829.32571635337,0.1554262857233784
15205+2206,COU 104,,1892,2019,15,117,115,5.6,5.7,10.1,11.1,K2,25.0,-2.0,27.0,1.0,,152032.06+220608.7,25.079872407968907,27.018512172212592,0.14376274395711666,1215046973888838016,1215046973888837760,11.1064,11.1321,0.013799999840557575,0.017799999564886093,9.878792,11.49377,26.59,-0.668,25.077,-0.028,0.04773723433189048,9846.511390239626,0.15569803431904758
12562+0050,SKF 896,,1999,2016,11,97,97,5.7,5.6,10.3,12.4,G5,-115.0,-16.0,,,NV,125612.88+005006.5,116.1077086157504,-1.0,-1.0,3690250817145407232,3690250812851382400,5.301,5.3373,0.01810000091791153,0.019600000232458115,10.112426,12.033893,-92.863,-16.858,-92.844,-16.895,0.04949557848314612,10209.195905914086,0.1614329859105772
14517-7328,GLI 210,,1852,2016,13,107,95,7.7,9.2,10.31,10.99,G2V+G2V,15.0,-4.0,17.0,-5.0,NV,145143.99-732749.6,15.524174696260024,17.72004514666935,0.14403780047891934,5793731661912972288,5793731666216355328,7.7025,7.727,0.01119999960064888,0.010300000198185444,10.109758,10.625132,18.487,-5.891,17.997,-6.112,0.05039958064836014,10395.659737368913,0.16438144662712018
17422+0456,FAL 57,,1991,2016,8,268,268,6.5,6.6,9.75,12.61,K0,-272.0,-23.0,,,,174213.48+045538.5,272.9706943977686,-1.0,-1.0,4473546435533622144,4473546439827210752,24.9221,24.9216,0.015599999576807022,0.01730000041425228,9.387259,12.008183,-275.262,-15.515,-274.541,-11.408,0.053779372600665454,11092.791869566663,0.1754048536331212
19517+5339,ES 2683,,1901,2016,19,320,318,10.1,10.0,10.32,10.5,,46.0,-26.0,44.0,-33.0,T,195139.92+533807.6,52.839379254491625,55.0,0.13777811155231673,2137618833976100096,2137618898398853760,11.4078,11.4511,0.009600000455975533,0.026599999517202377,9.964125,10.20208,46.809,-26.128,44.352,-32.412,0.05443195486562047,11227.3966240079,0.17753329231012036
16569+2541,LDS 986,,1897,2018,19,267,266,8.0,8.5,10.72,10.83,,130.0,-173.0,127.0,-175.0,NT,165646.43+254102.0,216.40009242142204,216.22673285234646,0.01666150524761544,1306220642729543936,1306220264772422016,16.2764,16.2877,0.011900000274181366,0.014000000432133675,10.33657,10.410027,129.816,-172.952,127.065,-175.666,0.05507960429376624,11360.98390782043,0.17964564222526377
22343+3558,ROE 80,,1913,2016,16,204,207,6.3,7.7,10.11,11.3,F6+G3,-7.0,-44.0,-8.0,-43.0,T,223415.83+355801.8,44.553338819890925,43.73785545725808,0.03174203325344759,1904247284819944320,1904247284820463232,6.812,6.8406,0.015200000256299973,0.016100000590085983,9.954835,10.888681,-8.199,-44.345,-7.412,-43.968,0.05794959921720988,11952.962854634683,0.189006313708222
22009-2021,I 675,,1907,2016,15,72,63,4.5,5.7,9.59,10.9,F7V,1.0,-41.0,,,,220054.66-202039.0,41.012193308819754,-1.0,-1.0,6823541987720561664,6823541987720561792,7.3255,7.359,0.020600000396370888,0.016200000420212746,9.35093,10.566563,23.651,-27.233,24.659,-28.205,0.06117803338551653,12618.87520284196,0.19953605764854063
02410+6539,STF 282,AB,1831,2016,53,294,295,7.0,6.7,9.47,9.51,G8V,115.0,-64.0,112.0,-63.0,NVW,024102.46+653838.8,131.60927019021113,128.50291825480073,0.02402777293421679,516128010972653824,516128010970194944,17.8219,17.8295,0.014299999922513962,0.013399999588727951,9.124377,9.191059,111.857,-61.19,114.707,-63.145,0.0632529917485769,13046.8660875694,0.206303666684629
19377+3022,BU 144,,1873,2020,43,5,356,4.0,6.1,9.53,9.63,K0V,72.0,39.0,76.0,36.0,T,193747.09+302118.6,81.88406438373708,84.09518416651456,0.06106194212060931,2032516891133712000,2032516895491291136,20.3744,20.3707,0.011599999852478504,0.012500000186264515,9.200732,9.328855,71.411,39.218,76.721,35.245,0.06698435811824055,13816.515648845003,0.21847375607526467
23333-4718,COO 257,,1903,2016,13,182,185,6.6,5.9,9.8,9.95,G0,92.0,-87.0,93.0,-84.0,V,233320.58-471803.3,126.62148316932637,125.31959144523253,0.02497425856195018,6528018104266951680,6528018104266951808,11.7054,11.7255,0.01510000042617321,0.014299999922513962,9.712991,9.760907,91.941,-87.166,92.72,-84.145,0.06775407613888262,13975.28138723764,0.22098424049002388
10589-8355,HJ 4406,,1837,2016,14,10,7,8.6,7.9,10.45,10.87,G5,-93.0,-15.0,-94.0,-15.0,T,105853.57-835453.0,94.2019108086455,95.1892851112981,0.010615495921641366,5191311577512486272,5191311577514418816,5.7943,5.8206,0.012400000356137753,0.011599999852478504,10.061055,10.636103,-93.906,-15.282,-94.37,-15.811,0.0681862852679842,14064.430919510003,0.22239391812966267
00276-3157,HJ 3367,AB,1835,2016,21,169,179,3.0,5.3,9.86,10.41,G5,78.0,22.0,82.0,4.0,V,002737.71-315724.2,81.04319835741924,82.09750300709517,0.2275217327093278,2315945669942918144,2315945669942918272,11.0001,11.0386,0.0142000000923872,0.01600000075995922,9.62289,10.185515,77.472,9.001,77.959,10.038,0.06836551645174893,14101.400004902673,0.22297849206636855
10425+0640,LDS2877,,1903,2018,19,276,274,5.2,5.6,9.75,11.55,G0,-96.0,-8.0,-109.0,-4.0,V,104230.17+064011.7,96.33275663033837,109.07336980216573,0.14119258063930346,3859507266302958080,3859507231943220224,9.0736,9.1157,0.02419999986886978,0.023600000888109207,9.545346,11.115184,-96.136,-4.387,-93.166,-5.117,0.0689087424526349,14213.4484107238,0.22475025831367373
20379+5106,ES 88,AB,1899,2018,20,126,127,7.8,7.8,9.59,10.66,G5,32.0,-3.0,31.0,-7.0,T,203755.05+510623.1,32.14031735997639,31.78049716414141,0.12828453370382928,2180625956426773376,2180625956426774400,14.44,14.4483,0.011300000362098217,0.011500000022351742,9.336798,10.346992,31.899,-4.77,32.749,-6.541,0.06950085653443239,14335.580707081937,0.22668147615481518
21261-2325,HJ 5269,,1834,2016,18,343,342,4.0,8.2,9.61,9.63,K2III,116.0,-110.0,115.0,-108.0,,212607.06-232506.2,159.86244086714052,157.76247969653622,0.013987450494129233,6827651373773901568,6827651171911478272,18.9741,18.9799,0.01549999974668026,0.016100000590085983,9.345675,9.349884,119.014,-115.239,114.046,-113.089,0.07164378607659927,14777.59165389817,0.23367077752656867
20068-5615,I 1412,,1893,2020,19,117,127,8.7,6.8,9.14,10.06,G3V,-138.0,-103.0,-135.0,-111.0,N,200649.98-561518.2,172.20046457544765,174.7741399635541,0.0496166126286731,6471977542786978688,6471977336628547968,12.5485,12.567,0.01510000042617321,0.01640000008046627,8.882374,9.866712,-133.217,-110.058,-135.921,-109.901,0.08244508686910024,17005.519869079988,0.26889990893767973
14569-5639,TVB 274,,1894,2016,6,108,105,6.2,5.5,10.5,11.5,,-1.0,-7.0,-1.0,-7.0,,145656.10-563831.9,7.0710678118654755,7.0710678118654755,0.0,5881231248255581824,5881231248258849152,4.5772,4.6042,0.013799999840557575,0.014999999664723873,10.471293,11.465864,-0.918,-6.329,-1.468,-6.774,0.08543348216608138,17621.920646001538,0.2786467507901709
18231-6235,CPO 79,,1901,2015,14,55,55,5.7,5.6,9.22,9.42,F5V+F5V,5.0,-14.0,7.0,-11.0,N,182303.16-623515.9,14.866068747318506,13.038404810405298,0.24253562503633294,6631086530416653696,6631086530411786880,5.3193,5.413,0.01679999940097332,0.07419999688863754,9.093698,9.344155,7.755,-12.405,7.213,-13.685,0.09477564510257253,19548.88007402569,0.3091168110242266
11272+1908,KU 38,,1893,2019,36,51,53,6.2,6.2,10.59,10.67,F6+F9,-41.0,-17.0,-42.0,-16.0,T,112713.99+190741.3,44.384682042344295,44.94441010848846,0.03186264939385831,3977217613918526464,3977217613918526208,6.5564,6.5839,0.017000000923871994,0.014700000174343586,10.536543,10.59502,-40.489,-17.159,-39.619,-16.774,0.09726282045812695,20061.896816841676,0.31722889207136645
19570+8319,WFC 227,,1898,2017,16,49,50,5.5,5.9,9.6,9.85,G5,46.0,-67.0,48.0,-70.0,,195702.92+831828.3,81.27115109311545,84.87638069569178,0.0443644666892065,2301806225288340096,2301806225288340224,17.5062,17.4984,0.010599999688565731,0.011599999852478504,9.356141,9.589685,43.747,-67.683,44.377,-68.758,0.09793910562169827,20201.3906450735,0.3194346392639064
08151-2819,LDS 208,,1912,2021,9,171,174,9.0,9.2,10.8,11.5,,-68.0,53.0,-69.0,32.0,,081507.55-281843.8,86.21484790916237,76.05918747922567,0.24385354206945556,5692986508139114624,5692986508139115392,12.6773,12.6889,0.011800000444054604,0.015699999406933784,10.390288,11.107053,-68.197,48.389,-69.882,48.25,0.09887352359797319,20394.12818790365,0.3224823030880588
16305-1433,STF3104,AB,1832,2016,27,226,229,9.0,9.5,9.15,10.37,G0V,-8.0,-83.0,-12.0,-87.0,N,163032.06-143245.6,83.38465086573187,87.82368700982668,0.06784047412516236,4327204294029846272,4327204294029846016,11.9672,11.9883,0.018400000408291817,0.017100000753998756,8.911317,9.931772,-12.762,-86.572,-15.993,-86.098,0.10036101870194614,20700.946077318134,0.3273338632378909
13310+3626,HLM 5,,1901,2019,40,163,161,7.3,6.1,10.13,10.86,,-136.0,-9.0,-136.0,-5.0,N,133100.44+362627.7,136.2974687952788,136.09188072769072,0.02934757362228106,1474985575828843392,1474985575829354112,20.8412,20.827,0.013500000350177288,0.016200000420212746,9.832334,10.361425,-136.306,-6.394,-134.619,-1.916,0.1011513784586171,20863.969479393374,0.32991167199117977
11459-3051,TVB 241,,1999,2015,3,253,253,8.8,8.8,10.5,12.6,,-27.0,-22.0,-26.0,-23.0,T,114553.62-305108.5,34.828149534535996,34.713109915419565,0.0406054752053578,3479450798601860352,3479449321133109760,23.6997,23.7921,0.01510000042617321,0.01940000057220459,10.47712,12.571011,-27.493,-21.354,-25.719,-23.404,0.10270239705604922,21183.890029878352,0.33497041806627736
15093+7227,STF1928,,1832,2017,30,278,275,6.6,6.5,9.56,10.24,G5,-30.0,16.0,-30.0,16.0,T,150917.20+722716.4,34.0,34.0,0.0,1697072489253422208,1697072489253422080,4.8115,4.8381,0.011699999682605267,0.012500000186264515,9.428834,10.158109,-30.969,16.159,-30.211,16.142,0.10311567161468815,21269.134026642867,0.336318339396759
01226+1245,BU 1360,AB,1903,2018,25,32,24,5.1,5.7,9.62,11.76,K5,402.0,11.0,396.0,16.0,VW,012236.60+124503.4,402.15046935195784,396.32310051270036,0.019421212384738526,2586715870164766464,2586715870164766336,22.5618,22.5546,0.017799999564886093,0.027799999341368675,9.338433,10.98232,401.709,10.012,396.199,15.8,0.10380497452177195,21411.312957218066,0.3385665447899997
09200+0500,STF1343,,1825,2017,50,271,275,10.0,9.1,9.37,9.59,G5,-80.0,-40.0,-72.0,-36.0,NT,091958.34+045958.6,89.44271909999159,80.49844718999243,0.1,579529081235551360,579529081235551488,23.3396,23.3131,0.01590000092983246,0.014700000174343586,8.969806,9.170425,-79.838,-40.664,-72.69,-37.118,0.10493511679243284,21644.421533707588,0.342252575883033
08242+6845,WFC 68,,1895,2018,11,118,123,9.3,9.4,10.24,10.99,,-6.0,4.0,-8.0,4.0,T,082414.23+684506.5,7.211102550927978,8.94427190999916,0.2773500981126146,1097249283819235456,1097249283819806848,4.4476,4.4818,0.015799999237060547,0.020500000566244125,10.060241,10.75415,-6.261,3.724,-8.014,5.242,0.10546103197532375,21752.89932700899,0.34396788179341237
02291+2252,HU 603,AB,1894,2017,22,227,231,5.4,6.1,9.44,11.3,K0,181.0,-214.0,179.0,-210.0,V,022907.34+225205.1,280.28021692584724,275.9365869180816,0.015955945817548577,101478536628185600,101478536628185728,19.5049,19.4987,0.019899999722838402,0.015599999576807022,9.178592,10.673411,181.805,-210.316,176.423,-210.63,0.10962040294638342,22610.83117446441,0.3575339354884223
00327+7807,STF 34,,1831,2020,45,338,339,10.0,5.8,9.61,9.71,G5,10.0,-51.0,12.0,-54.0,NV,003243.59+780641.5,51.97114584074513,55.31726674375732,0.06937602042703576,564289953155405184,564289953155404544,12.4819,12.4877,0.011599999852478504,0.011500000022351742,9.397886,9.54409,10.048,-50.791,12.75,-51.536,0.11098892647027014,22893.109413963495,0.3619974622421328
18380+3652,KPP1213,,1996,2020,12,173,171,10.7,9.4,10.8,12.9,,5.0,59.0,4.0,61.0,V,183800.29+365133.3,59.21148537234985,61.1310068623117,0.03776409193990551,2096039045124861056,2096039045125563520,13.2158,13.2157,0.011099999770522118,0.009499999694526196,10.407462,12.200336,4.731,60.308,2.936,61.884,0.11850437768634947,24443.282502907605,0.3865095856975661
12362-5652,HDS1768,,1892,2016,11,12,2,7.7,8.1,10.01,10.84,G3/G5V,-83.0,-25.0,-82.0,-14.0,,123612.56-565212.0,86.68333173107735,83.18653737234169,0.1274219714056898,6073121316055467392,6073121316055470848,10.3778,10.3907,0.013500000350177288,0.012299999594688416,9.76666,10.519461,-83.07,-22.094,-81.487,-22.569,0.11961603986839009,24672.579287498436,0.3901353428029567
04481-4941,WFC 29,,1904,2015,6,15,17,7.1,7.6,10.69,10.81,G0,63.0,-7.0,66.0,-7.0,T,044803.99-494122.7,63.387695966961914,66.37017402418047,0.047327796889219946,4784743517939422464,4784743517939422336,5.3175,5.3639,0.03660000115633011,0.013299999758601189,10.471254,10.622848,62.608,-6.606,66.308,-6.32,0.12217411286229662,25200.219717952496,0.39847866101923246
08225-3024,KPP 927,,1913,2021,7,118,124,7.7,7.6,11.0,11.4,,2.0,53.0,0.0,50.0,V,082228.62-302355.2,53.03772242470448,50.0,0.06798088437116895,5644299102470023552,5644299102470022912,14.2098,14.2101,0.013299999758601189,0.012199999764561653,10.607656,10.885928,0.657,51.959,-0.621,50.15,0.12479068139047911,25739.925718450308,0.4070127661512288
20263-1601,UC 4182,,1998,2015,5,103,102,8.7,8.5,9.7,11.6,G3V,-33.0,-63.0,-24.0,-62.0,V,202615.48-160034.1,71.11961754677819,66.48308055437865,0.12732612253125986,6874876776876467584,6874876776877034112,10.5669,10.6655,0.020400000736117363,0.09220000356435776,9.474335,11.674467,-34.499,-62.28,-29.717,-54.588,0.12506402309422526,25796.306492012758,0.4079042875509565
09271-1716,SKI 6,,1900,2017,19,357,357,6.0,6.4,9.25,10.07,G5,-31.0,-22.0,-31.0,-21.0,T,092707.79-171556.7,38.01315561749642,37.44329045369811,0.02630668208823282,5681982320879398656,5681982320879398528,8.2163,8.2416,0.016899999231100082,0.01720000058412552,9.125732,10.081154,-32.579,-21.631,-29.708,-21.474,0.12996002114030603,26806.17858037377,0.423872897431136
00115-4938,HJ 3352,,1834,2016,14,308,302,3.0,6.6,9.24,10.75,G6/8V,-38.0,-39.0,-45.0,-37.0,,001130.83-493745.5,54.45181356024793,58.25804665451803,0.13369820788843842,4976675435913503360,4976675435917044736,19.8105,19.7899,0.014299999922513962,0.016200000420212746,8.966317,10.616998,-42.805,-36.283,-44.85,-40.879,0.1303539355115575,26887.4292518379,0.4251576742757155
22173-0042,STF2887,,1829,2016,50,26,30,8.8,7.7,9.85,9.93,K0,102.0,-37.0,102.0,-48.0,NV,221720.81-004217.1,108.50345616615168,112.72976536833562,0.10137925913765979,2677889573363189120,2677889573363189376,18.1685,18.1637,0.01899999938905239,0.019600000232458115,9.549394,9.606622,101.46,-36.533,100.411,-44.116,0.13151681675217475,27127.290725622202,0.42895048560726023
